,0,2,4,6,8,10,12,14
1.39,-31.6079948,-29.7147812,-27.8340205,-25.9919262,-24.1900427,-22.442703,-20.7872465,-19.2208352
1.38,-31.5519659,-29.6444068,-27.7583097,-25.9513576,-24.1057035,-22.3533706,-20.6902862,-19.112147
1.37,-31.482393,-29.6001989,-27.6924185,-25.8480979,-24.0287549,-22.2745558,-20.6311911,-19.0092475
1.36,-31.4231317,-29.5355601,-27.6331193,-25.7810089,-23.9658197,-22.2026154,-20.5327318,-18.9199055
1.35,-31.3778011,-29.4798077,-27.5958197,-25.7233846,-23.9052283,-22.1373211,-20.4456286,-18.8330071
1.34,-31.3401632,-29.4412539,-27.5459059,-25.6775239,-23.8685809,-22.0929849,-20.3772042,-18.7742214
1.33,-31.3084779,-29.4053297,-27.5071675,-25.6379302,-23.8184509,-22.0414319,-20.3251209,-18.7004053
1.32,-31.2892366,-29.3783427,-27.4820189,-25.6210507,-23.7833904,-22.000642,-20.2788212,-18.6365237
1.31,-31.2817064,-29.360514,-27.4603862,-25.5904973,-23.7524566,-21.9694895,-20.226621,-18.5756171
1.3,-31.2690962,-29.3573619,-27.4470967,-25.5818365,-23.7318032,-21.944112,-20.1952749,-18.5322096
1.29,-31.2661388,-29.3504877,-27.4459364,-25.5750338,-23.7214183,-21.9214184,-20.1836516,-18.4997144
1.28,-31.2726777,-29.3528504,-27.4471505,-25.5667162,-23.7202764,-21.9116587,-20.1663691,-18.4694664
1.27,-31.2851955,-29.3635848,-27.457171,-25.5723827,-23.7262172,-21.9164793,-20.1545992,-18.4526157
1.26,-31.3021672,-29.3808553,-27.4750228,-25.5859338,-23.7358627,-21.9241354,-20.1500808,-18.4344591
1.25,-31.328276,-29.4056424,-27.4951435,-25.6123282,-23.7579173,-21.9297636,-20.1562552,-18.4199479
1.24,-31.3541455,-29.432145,-27.5282058,-25.6424371,-23.7873625,-21.9527101,-20.1631207,-18.4220191
1.23,-31.3987764,-29.4781394,-27.5700745,-25.6693274,-23.8218176,-21.9857608,-20.1833743,-18.4285385
1.22,-31.4497096,-29.5296165,-27.6163164,-25.7194275,-23.853251,-22.0226614,-20.2099254,-18.4438236
1.21,-31.5023716,-29.5828196,-27.668378,-25.7770494,-23.910299,-22.0671035,-20.2392789,-18.4609989
1.2,-31.5670943,-29.6483122,-27.7096251,-25.8513775,-23.9771903,-22.1224393,-20.293318,-18.4941836
1.19,-31.6412737,-29.6994699,-27.7987553,-25.9159311,-24.0466223,-22.1783734,-20.3550544,-18.5380662
1.18,-31.6997346,-29.7924608,-27.8917908,-25.9977472,-24.1255259,-22.2621339,-20.4153611,-18.5883714
1.17,-31.8083021,-29.8967247,-27.9834998,-26.0880569,-24.2190519,-22.3489523,-20.4934008,-18.6495753
1.16,-31.915038,-29.9993585,-28.0891056,-26.1630228,-24.3219724,-22.4502832,-20.5817536,-18.7150927
1.15,-32.0314304,-30.1092979,-28.2031081,-26.3029452,-24.4130723,-22.552577,-20.6497027,-18.7942994
1.14,-32.1566879,-30.2373168,-28.3235271,-26.4314647,-24.558563,-22.6759683,-20.7702855,-18.8841423
1.13,-32.2913535,-30.37408,-28.42522,-26.5740643,-24.6897907,-22.8054662,-20.9075646,-18.9534506
1.12,-32.441715,-30.4819437,-28.5969316,-26.7232041,-24.8399628,-22.9146011,-21.0366451,-19.0782989
1.11,-32.6038133,-30.6881647,-28.7773198,-26.8855942,-24.9888152,-23.0987252,-21.137983,-19.2054674
1.1,-32.7874223,-30.8693626,-28.9590887,-27.0667039,-25.1835138,-23.269385,-21.3122298,-19.3432163
1.09,-32.9936018,-31.0773184,-29.1693519,-27.280982,-25.3884731,-23.3942097,-21.501583,-19.5062904
1.08,-33.2102802,-31.2939068,-29.3489276,-27.4997076,-25.6071848,-23.6433286,-21.7066594,-19.6270715
1.07,-33.3839687,-31.4936969,-29.623243,-27.6565075,-25.8418427,-23.8921432,-21.9297636,-19.8519287
1.06,-33.6807314,-31.7804385,-29.8998231,-27.97722,-26.0176587,-24.1628486,-22.1619721,-20.0502976
1.05,-34.0028286,-32.093893,-30.1940523,-28.2889811,-26.3561438,-24.4325334,-22.4166378,-20.2698105
1.04,-34.3167781,-32.4119996,-30.5128086,-28.6097781,-26.6992315,-24.7348374,-22.6963645,-20.5067809
1.03,-34.6620302,-32.7587021,-30.8600996,-28.9604214,-27.0471849,-25.0632753,-22.9987058,-20.6864504
1.02,-35.0552055,-33.1576436,-31.2638794,-29.3658798,-27.438225,-25.4418063,-23.3499541,-21.0338422
1.01,-35.475197,-33.416624,-31.5318398,-29.7751912,-27.8534318,-25.7593466,-23.7161684,-21.3792864
1,-35.9319606,-33.962882,-32.0875764,-30.239467,-28.3115183,-26.2517179,-24.1185457,-21.7240158
0.99,-36.3539874,-34.5239679,-32.6767663,-30.6079944,-28.664583,-26.7753613,-24.4635823,-22.0965112
0.98,-36.9884506,-35.1429649,-33.2579752,-31.2660091,-29.3211637,-27.3194672,-25.0131361,-22.5186822
0.97,-37.6589389,-35.7809724,-33.8956751,-31.9722671,-29.9935481,-27.9129283,-25.5724566,-22.9763014
0.96,-38.3718537,-36.4944769,-34.6115038,-32.6758075,-30.4829184,-28.5742356,-26.2161633,-23.3233764
0.95,-39.1708385,-37.3029379,-35.1482134,-33.479656,-31.3987213,-29.3295791,-26.8843938,-23.9629213
0.94,-40.1190961,-38.1678514,-36.2496432,-34.4302972,-32.4146209,-30.1965868,-27.6686711,-24.6532371
0.93,-41.176788,-39.2155125,-37.401932,-35.1051211,-33.4480256,-31.1781745,-28.5353663,-25.366888
0.92,-41.9980393,-40.5552654,-38.6872021,-36.5648986,-34.647989,-32.3044945,-29.5067675,-26.1398433
0.91,-43.6541605,-41.4005287,-40.1704861,-38.2051169,-36.0710993,-33.3355273,-30.145126,-27.0213742
0.9,-45.5986994,-43.6182999,-41.9585416,-39.9808862,-37.7941479,-35.1111265,-31.7515636,-28.0297387
0.89,-47.785175,-45.8006399,-43.5532247,-42.2235507,-39.9533448,-37.1977637,-33.4557195,-29.1948593
0.88,-50.6131275,-48.9197088,-46.7054308,-44.0432709,-42.7858569,-39.7503144,-35.6789398,-30.5618105
0.87,-54.4335263,-52.8235663,-51.1448583,-49.2650213,-45.2839471,-43.4759856,-38.471996,-32.2906965
0.86,-56.2339144,-54.5473608,-52.8800124,-52.5140981,-51.2058158,-48.8259324,-42.4420646,-33.695818
0.85,-55.3701079,-53.3945918,-51.541255,-49.6789536,-49.1717031,-50.1279816,-49.5935717,-36.8794295
0.84,-51.430258,-49.4515837,-47.3487492,-45.6737537,-44.7053457,-45.2975299,-52.8285532,-41.4712811
0.83,-48.4932105,-46.4269005,-44.9816011,-42.6886065,-41.4144694,-41.152027,-44.083794,-49.3466133
0.82,-46.2562912,-44.8041868,-42.4304306,-41.1320492,-38.9962103,-38.2857765,-39.5475201,-50.1203233
0.81,-44.4934808,-42.6762902,-40.4864122,-38.9300394,-37.1203247,-36.148339,-36.5702568,-41.8395376
0.8,-43.4081637,-41.0438509,-39.0692948,-37.2169487,-35.91479,-34.4653501,-34.3936591,-37.5253367
0.79,-41.9556228,-39.8250475,-37.8552506,-36.3094667,-34.4097483,-33.5090325,-32.9148266,-34.584302
0.78,-40.8431114,-38.8347119,-36.8621105,-35.0821594,-33.2856225,-32.0846134,-31.3774293,-33.0713987
0.77,-39.9879115,-37.988832,-36.0152572,-34.1197108,-32.3888128,-31.0181046,-30.1221856,-31.0359884
0.76,-39.2548544,-37.255048,-35.2831608,-33.3783869,-31.6255738,-30.1050262,-29.1444193,-29.4692451
0.75,-38.7981236,-36.6260087,-34.7801207,-32.7371108,-30.956747,-29.387676,-28.3045289,-28.3661544
0.74,-38.1742721,-36.0765936,-34.1441514,-32.1698685,-30.3810577,-28.78214,-27.5999797,-27.6784096
0.73,-37.6062588,-35.6080774,-33.6307417,-31.6985879,-29.8760216,-28.4103517,-27.189635,-26.6561714
0.72,-37.3048116,-35.1807861,-33.2014391,-31.2641387,-29.423505,-27.8262185,-26.4760251,-25.8036417
0.71,-36.8240309,-34.8208086,-32.9598396,-30.8958463,-29.0393192,-27.3337446,-25.908481,-25.1731852
0.7,-36.5035663,-34.5097472,-32.5735283,-30.5702017,-28.7791969,-26.955597,-25.4767962,-24.618909
0.69,-36.2342994,-34.3410369,-32.2769025,-30.2892163,-28.4513559,-26.6440681,-25.1101892,-24.1322337
0.68,-36.0048153,-34.0473422,-32.0210073,-30.1367424,-28.1609172,-26.3621124,-24.785245,-23.7066929
0.67,-35.8068423,-33.8293029,-31.8229681,-29.8795081,-27.944274,-26.1874963,-24.5083492,-23.3604195
0.66,-35.689853,-33.6434077,-31.6521473,-29.6773041,-27.7597318,-25.9524644,-24.2627454,-23.0176985
0.65,-35.5119241,-33.504128,-31.5084582,-29.5220566,-27.6027659,-25.7503664,-24.0979427,-22.9406342
0.64,-35.3783375,-33.3840563,-31.4111261,-29.3928137,-27.5065366,-25.6015473,-23.888267,-22.4713854
0.63,-35.287124,-33.2887214,-31.295714,-29.2952329,-27.373158,-25.5248899,-23.7195598,-22.264285
0.62,-35.2082088,-33.2307062,-31.2095327,-29.2400966,-27.2701113,-25.3882468,-23.6718801,-22.0826652
0.61,-35.1450433,-33.154898,-31.145725,-29.1511392,-27.1964307,-25.2892258,-23.4868177,-21.9252586
0.6,-35.0946352,-33.0960111,-31.0969876,-29.0976352,-27.1365459,-25.2155769,-23.3982362,-21.7950423
0.59,-35.0571741,-33.0557005,-31.0667311,-29.0498698,-27.0913579,-25.1694651,-23.3190331,-21.7204684
0.58,-35.0315106,-33.0381378,-31.0267169,-29.0196043,-27.0691717,-25.1593119,-23.2622181,-21.6102229
0.57,-35.0074626,-33.007781,-30.9992357,-29.0198112,-27.0303445,-25.0798997,-23.2134964,-21.5194831
0.56,-34.9862256,-32.9851139,-30.9804084,-28.975465,-27.0135256,-25.0530219,-23.1728468,-21.4540063
0.55,-34.9685069,-32.9715428,-30.9727225,-28.9574624,-26.9885535,-25.0317313,-23.1378234,-21.4024447
0.54,-34.9608368,-32.9577326,-30.94716,-28.9417352,-26.9759294,-25.0198714,-23.1087379,-21.3603869
0.53,-34.9495196,-32.9481379,-30.9359643,-28.9298766,-26.9663189,-24.9916638,-23.0896018,-21.3230738
0.52,-34.9422552,-32.9396183,-30.9303441,-28.9131924,-26.9506196,-24.9757464,-23.0737723,-21.287795
0.51,-34.938488,-32.9311648,-30.9240509,-28.9034187,-26.943803,-24.9662707,-23.0562216,-21.2644384
0.5,-34.9301399,-32.9266693,-30.9159592,-28.9058787,-26.9364442,-24.9613469,-23.0431124,-21.2432174
0.49,-34.9278324,-32.9210587,-30.9114409,-28.8965222,-26.9213187,-24.9541193,-23.0260885,-21.2143444
0.48,-34.9168553,-32.9140982,-30.9030265,-28.8844111,-26.9141248,-24.9424789,-23.0128154,-21.1948517
0.47,-34.9132488,-32.9074676,-30.9012371,-28.8764722,-26.9081576,-24.9293845,-23.004154,-21.180751
0.46,-34.9116077,-32.9034941,-30.8980449,-28.873854,-26.9070701,-24.9284449,-22.9944234,-21.1643231
0.45,-34.9084447,-32.8984299,-30.8922626,-28.8717606,-26.9003746,-24.9221514,-22.9844794,-21.1505285
0.44,-34.9039109,-32.896661,-30.8876345,-28.8684979,-26.8961959,-24.9161329,-22.9707558,-21.142071
0.43,-34.8997508,-32.8893716,-30.8845442,-28.8654367,-26.8952895,-24.9057598,-22.9689552,-21.1273141
0.42,-34.8947667,-32.8843145,-30.879848,-28.8546527,-26.8864138,-24.8989912,-22.9580931,-21.1085298
0.41,-34.8919711,-32.8834928,-30.8747476,-28.8555463,-26.8752375,-24.8894515,-22.9467036,-21.0963539
0.4,-34.8879475,-32.8789172,-30.8697178,-28.8490475,-26.8724057,-24.885304,-22.9345324,-21.0849427
0.39,-34.8848021,-32.876157,-30.8649732,-28.8420886,-26.8754136,-24.882916,-22.9265369,-21.079167
0.38,-34.8778389,-32.8730912,-30.8584728,-28.8386251,-26.8675634,-24.8806681,-22.923995,-21.0682427
0.37,-34.8742096,-32.8644605,-30.8545878,-28.8369194,-26.8541283,-24.8765842,-22.9121061,-21.0607133
0.36,-34.8721808,-32.8632084,-30.8512746,-28.835066,-26.8541763,-24.8727815,-22.90465,-21.0471471
0.35,-34.8696073,-32.8573736,-30.8470052,-28.8271427,-26.8555802,-24.8597359,-22.897594,-21.033023
0.34,-34.8614458,-32.8513299,-30.8452387,-28.8269947,-26.8498598,-24.8481402,-22.8915226,-21.0234408
0.33,-34.85532,-32.8481542,-30.8393288,-28.8245051,-26.8428671,-24.8421543,-22.8831007,-21.0134712
0.32,-34.8534185,-32.8463171,-30.8370953,-28.8079746,-26.8296817,-24.8446584,-22.8746056,-21.002996
0.31,-34.8510141,-32.8392897,-30.8314579,-28.8065754,-26.8309994,-24.836453,-22.8685361,-20.9962429
0.3,-34.8477924,-32.8331146,-30.8277941,-28.808539,-26.8290042,-24.8307088,-22.8620622,-20.9819447
0.29,-34.8423307,-32.83054,-30.8195294,-28.7959603,-26.8262023,-24.8288364,-22.8562271,-20.9596108
0.28,-34.8392191,-32.8243177,-30.8181251,-28.7876929,-26.8233602,-24.817357,-22.841155,-20.9484875
0.27,-34.8368571,-32.8185644,-30.8150571,-28.7834912,-26.8154785,-24.803339,-22.8361824,-20.9354271
0.26,-34.8306811,-32.8164288,-30.8096186,-28.7810515,-26.8076111,-24.8022361,-22.8270716,-20.9233527
0.25,-34.8256729,-32.8089606,-30.8005555,-28.7711557,-26.8029233,-24.7973625,-22.8205703,-20.9117485
0.24,-34.8218291,-32.8054162,-30.7951713,-28.7673347,-26.7965532,-24.7835979,-22.8137678,-20.8940457
0.23,-34.8206181,-32.8005518,-30.7920565,-28.7684543,-26.7888899,-24.7811963,-22.8085522,-20.8824537
0.22,-34.8167968,-32.7977166,-30.7906343,-28.7675536,-26.7789703,-24.780836,-22.7954599,-20.865591
0.21,-34.8132379,-32.7912612,-30.7855213,-28.7502452,-26.7686978,-24.7710054,-22.7819147,-20.8608872
0.2,-34.8085776,-32.7863827,-30.7766148,-28.74487,-26.7710854,-24.7636033,-22.7736443,-20.847133
0.19,-34.8014761,-32.7823642,-30.7713135,-28.7481857,-26.7572375,-24.7479532,-22.7626416,-20.8319059
0.18,-34.7942826,-32.7751025,-30.7701561,-28.7457163,-26.7584492,-24.7430723,-22.7542891,-20.8243709
0.17,-34.7881829,-32.7715854,-30.7628716,-28.7350084,-26.7567781,-24.7342263,-22.7468009,-20.8006412
0.16,-34.7833611,-32.7674916,-30.7611657,-28.7277964,-26.7501424,-24.7282089,-22.737411,-20.7906808
0.15,-34.7795724,-32.7622088,-30.7504389,-28.7284472,-26.7421846,-24.7228093,-22.7245651,-20.780431
0.14,-34.7734935,-32.7556825,-30.7490032,-28.7193445,-26.7344909,-24.7156591,-22.7202989,-20.7670453
0.13,-34.7684822,-32.7517267,-30.7433372,-28.7118927,-26.7297979,-24.7093467,-22.7091276,-20.7481158
0.12,-34.7650311,-32.7478293,-30.7339965,-28.7009806,-26.7221261,-24.7061938,-22.6992811,-20.7342635
0.11,-34.7616667,-32.7385969,-30.7299281,-28.7002372,-26.70418,-24.6987634,-22.6892441,-20.7169889
0.1,-34.7554948,-32.732106,-30.7259971,-28.6965991,-26.7055005,-24.6831281,-22.6774343,-20.7055421
0.09,-34.7554604,-32.7271703,-30.7211084,-28.6823361,-26.6989025,-24.6826947,-22.6700184,-20.6869916
0.08,-34.7501116,-32.7239915,-30.7163052,-28.6761371,-26.6878289,-24.67064,-22.6607057,-20.6817974
0.07,-34.74331,-32.7163469,-30.7131935,-28.6704741,-26.6822855,-24.6597072,-22.6494792,-20.6635471
0.06,-34.7364164,-32.7139926,-30.7062852,-28.6745654,-26.6741643,-24.6509732,-22.6386082,-20.6408702
0.05,-34.7322774,-32.7079923,-30.7019007,-28.6697109,-26.664828,-24.6440084,-22.6277946,-20.6252265
0.04,-34.7269086,-32.7008254,-30.6943884,-28.664673,-26.6555574,-24.636423,-22.6190733,-20.61787
0.03,-34.7196853,-32.6960757,-30.6907507,-28.6551801,-26.6514372,-24.6270265,-22.6077773,-20.6045897
0.02,-34.7147351,-32.6895894,-30.6822369,-28.6503473,-26.6519269,-24.6249801,-22.5962756,-20.5958538
0.01,-34.7111767,-32.6856599,-30.6748118,-28.6391637,-26.6452052,-24.6190448,-22.5870021,-20.5793157
